epoch,op,field,before,after,reason
20,clahe,strength,0.059999999999999984,0.07499999999999998,low_contrast_fn_high_monitor_fp
20,gamma,prob,0.07000000000000002,0.09000000000000002,low_contrast_fn_high_monitor_fp
20,gamma,strength,0.059999999999999984,0.07499999999999998,low_contrast_fn_high_monitor_fp
20,local_contrast,strength,0.225,0.24,low_contrast_fn_high_monitor_fp
20,sharpen_mild,strength,0.225,0.24,low_contrast_fn_high_monitor_fp
25,clahe,prob,0.09000000000000002,0.11000000000000003,recall_low_or_fn_high
25,clahe,strength,0.07499999999999998,0.08999999999999998,recall_low_or_fn_high
25,gamma,prob,0.09000000000000002,0.11000000000000003,recall_low_or_fn_high
25,gamma,strength,0.07499999999999998,0.08999999999999998,recall_low_or_fn_high
25,sharpen_mild,strength,0.24,0.255,recall_low_or_fn_high
25,local_contrast,strength,0.24,0.255,recall_low_or_fn_high
25,brightness,prob,0.0,0.015,recall_low_brightness_like
25,brightness,strength,0.0,0.01,recall_low_brightness_like
25,brightness,prob,0.015,0.0,precision_low_or_fp_high
25,brightness,strength,0.01,0.0,precision_low_or_fp_high
25,clahe,prob,0.11000000000000003,0.08000000000000003,precision_low_or_fp_high
25,clahe,strength,0.08999999999999998,0.06999999999999998,precision_low_or_fp_high
25,gamma,prob,0.11000000000000003,0.08000000000000003,precision_low_or_fp_high
25,gamma,strength,0.08999999999999998,0.06999999999999998,precision_low_or_fp_high
25,cutout_safe,prob,0.059999999999999984,0.08999999999999998,precision_low_hard_negative_like
25,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
25,sharpen_mild,strength,0.255,0.28500000000000003,map50_high_map95_low
25,local_contrast,strength,0.255,0.28500000000000003,map50_high_map95_low
25,cutout_safe,prob,0.08999999999999998,0.06999999999999998,map50_high_map95_low_reduce_cutout
25,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
25,clahe,prob,0.08000000000000003,0.10000000000000003,low_contrast_fn_high_monitor_fp
