stage_index,scope,name,field,before,after,reason
3,custom_industrial_policy,sharpen_mild,strength,0.24,0.26,recall_low_or_fn_high
3,official_yolo_aug,hsv_v,value,0.35500000000000015,0.31500000000000017,precision_low_or_fp_high
3,custom_industrial_policy,clahe,prob,0.10500000000000001,0.065,precision_low_or_fp_high
3,custom_industrial_policy,clahe,strength,0.09000000000000002,0.060000000000000026,precision_low_or_fp_high
3,custom_industrial_policy,gamma,prob,0.10500000000000001,0.065,precision_low_or_fp_high
3,custom_industrial_policy,gamma,strength,0.09000000000000002,0.060000000000000026,precision_low_or_fp_high
3,custom_industrial_policy,local_contrast,prob,0.12,0.07999999999999999,precision_low_or_fp_high
3,custom_industrial_policy,local_contrast,strength,0.10000000000000002,0.07000000000000002,precision_low_or_fp_high
3,custom_industrial_policy,cutout_safe,prob,0.12,0.16,precision_low_hard_negative_like
3,custom_industrial_policy,cutout_safe,strength,0.09,0.12,precision_low_hard_negative_like
3,official_yolo_aug,translate,value,0.085,0.065,map50_high_map95_low_reduce_geometry
3,official_yolo_aug,scale,value,0.525,0.47500000000000003,map50_high_map95_low_reduce_geometry
3,official_yolo_aug,mosaic,value,0.8,0.7000000000000001,map50_high_map95_low_reduce_mosaic
3,custom_industrial_policy,sharpen_mild,strength,0.26,0.3,map50_high_map95_low
3,custom_industrial_policy,local_contrast,prob,0.07999999999999999,0.13,map50_high_map95_low
3,custom_industrial_policy,local_contrast,strength,0.07000000000000002,0.11000000000000001,map50_high_map95_low
3,custom_industrial_policy,clahe,prob,0.065,0.09,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,clahe,strength,0.060000000000000026,0.08000000000000003,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,gamma,prob,0.065,0.09,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,gamma,strength,0.060000000000000026,0.08000000000000003,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,local_contrast,prob,0.13,0.155,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,local_contrast,strength,0.11000000000000001,0.13,low_contrast_fn_high_monitor_fp
3,custom_industrial_policy,sharpen_mild,strength,0.3,0.32,low_contrast_fn_high_monitor_fp
4,official_yolo_aug,hsv_v,value,0.31500000000000017,0.3300000000000002,recall_low_or_fn_high
4,official_yolo_aug,translate,value,0.065,0.07,recall_low_or_fn_high
4,official_yolo_aug,scale,value,0.47500000000000003,0.5,recall_low_or_fn_high
4,custom_industrial_policy,clahe,prob,0.09,0.11499999999999999,recall_low_or_fn_high
4,custom_industrial_policy,clahe,strength,0.08000000000000003,0.10000000000000003,recall_low_or_fn_high
4,custom_industrial_policy,gamma,prob,0.09,0.11499999999999999,recall_low_or_fn_high
4,custom_industrial_policy,gamma,strength,0.08000000000000003,0.10000000000000003,recall_low_or_fn_high
4,custom_industrial_policy,sharpen_mild,strength,0.32,0.34,recall_low_or_fn_high
4,official_yolo_aug,hsv_v,value,0.3300000000000002,0.2900000000000002,precision_low_or_fp_high
4,custom_industrial_policy,clahe,prob,0.11499999999999999,0.07499999999999998,precision_low_or_fp_high
4,custom_industrial_policy,clahe,strength,0.10000000000000003,0.07000000000000003,precision_low_or_fp_high
4,custom_industrial_policy,gamma,prob,0.11499999999999999,0.07499999999999998,precision_low_or_fp_high
4,custom_industrial_policy,gamma,strength,0.10000000000000003,0.07000000000000003,precision_low_or_fp_high
4,custom_industrial_policy,local_contrast,prob,0.155,0.11499999999999999,precision_low_or_fp_high
4,custom_industrial_policy,local_contrast,strength,0.13,0.1,precision_low_or_fp_high
4,custom_industrial_policy,cutout_safe,prob,0.16,0.2,precision_low_hard_negative_like
4,custom_industrial_policy,cutout_safe,strength,0.12,0.15,precision_low_hard_negative_like
4,official_yolo_aug,translate,value,0.07,0.05,map50_high_map95_low_reduce_geometry
4,official_yolo_aug,scale,value,0.5,0.45,map50_high_map95_low_reduce_geometry
4,official_yolo_aug,mosaic,value,0.7000000000000001,0.6000000000000001,map50_high_map95_low_reduce_mosaic
4,custom_industrial_policy,sharpen_mild,strength,0.34,0.38,map50_high_map95_low
4,custom_industrial_policy,local_contrast,prob,0.11499999999999999,0.16499999999999998,map50_high_map95_low
4,custom_industrial_policy,local_contrast,strength,0.1,0.14,map50_high_map95_low
4,custom_industrial_policy,clahe,prob,0.07499999999999998,0.09999999999999998,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,clahe,strength,0.07000000000000003,0.09000000000000004,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,gamma,prob,0.07499999999999998,0.09999999999999998,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,gamma,strength,0.07000000000000003,0.09000000000000004,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,local_contrast,prob,0.16499999999999998,0.18999999999999997,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,local_contrast,strength,0.14,0.16,low_contrast_fn_high_monitor_fp
4,custom_industrial_policy,sharpen_mild,strength,0.38,0.4,low_contrast_fn_high_monitor_fp
5,official_yolo_aug,hsv_v,value,0.2900000000000002,0.3050000000000002,recall_low_or_fn_high
5,official_yolo_aug,translate,value,0.05,0.055,recall_low_or_fn_high
5,official_yolo_aug,scale,value,0.45,0.47500000000000003,recall_low_or_fn_high
5,custom_industrial_policy,clahe,prob,0.09999999999999998,0.12499999999999997,recall_low_or_fn_high
5,custom_industrial_policy,clahe,strength,0.09000000000000004,0.11000000000000004,recall_low_or_fn_high
5,custom_industrial_policy,gamma,prob,0.09999999999999998,0.12499999999999997,recall_low_or_fn_high
5,custom_industrial_policy,gamma,strength,0.09000000000000004,0.11000000000000004,recall_low_or_fn_high
5,official_yolo_aug,hsv_v,value,0.3050000000000002,0.26500000000000024,precision_low_or_fp_high
5,custom_industrial_policy,clahe,prob,0.12499999999999997,0.08499999999999996,precision_low_or_fp_high
5,custom_industrial_policy,clahe,strength,0.11000000000000004,0.08000000000000004,precision_low_or_fp_high
5,custom_industrial_policy,gamma,prob,0.12499999999999997,0.08499999999999996,precision_low_or_fp_high
5,custom_industrial_policy,gamma,strength,0.11000000000000004,0.08000000000000004,precision_low_or_fp_high
5,custom_industrial_policy,local_contrast,prob,0.18999999999999997,0.14999999999999997,precision_low_or_fp_high
5,custom_industrial_policy,local_contrast,strength,0.16,0.13,precision_low_or_fp_high
5,custom_industrial_policy,cutout_safe,prob,0.2,0.24000000000000002,precision_low_hard_negative_like
5,custom_industrial_policy,cutout_safe,strength,0.15,0.18,precision_low_hard_negative_like
5,official_yolo_aug,translate,value,0.055,0.04,map50_high_map95_low_reduce_geometry
5,official_yolo_aug,scale,value,0.47500000000000003,0.42500000000000004,map50_high_map95_low_reduce_geometry
5,official_yolo_aug,mosaic,value,0.6000000000000001,0.6,map50_high_map95_low_reduce_mosaic
5,custom_industrial_policy,local_contrast,prob,0.14999999999999997,0.19999999999999996,map50_high_map95_low
5,custom_industrial_policy,local_contrast,strength,0.13,0.17,map50_high_map95_low
5,custom_industrial_policy,clahe,prob,0.08499999999999996,0.10999999999999996,low_contrast_fn_high_monitor_fp
5,custom_industrial_policy,clahe,strength,0.08000000000000004,0.10000000000000005,low_contrast_fn_high_monitor_fp
5,custom_industrial_policy,gamma,prob,0.08499999999999996,0.10999999999999996,low_contrast_fn_high_monitor_fp
5,custom_industrial_policy,gamma,strength,0.08000000000000004,0.10000000000000005,low_contrast_fn_high_monitor_fp
5,custom_industrial_policy,local_contrast,prob,0.19999999999999996,0.22499999999999995,low_contrast_fn_high_monitor_fp
5,custom_industrial_policy,local_contrast,strength,0.17,0.19,low_contrast_fn_high_monitor_fp
6,official_yolo_aug,hsv_v,value,0.26500000000000024,0.29500000000000026,recall_low_or_fn_high
6,official_yolo_aug,translate,value,0.04,0.05,recall_low_or_fn_high
6,official_yolo_aug,scale,value,0.42500000000000004,0.47500000000000003,recall_low_or_fn_high
6,custom_industrial_policy,clahe,prob,0.10999999999999996,0.15999999999999998,recall_low_or_fn_high
